gbifapi_acceptedScientificName;gbifapi_acceptedKey;nbn_recommendedTaxonVersionKey; Batch;t0_from;t0_to;Valid;t1_from;t1_to
Acer negundo L.;3189866;NBNSYS0000014604;;;;0;;
Alopochen aegyptiaca (Linnaeus, 1766);2498252;NHMSYS0001689380;2;1/01/2000;31/08/2017;1;1/01/2015;31/12/2018
Alternanthera philoxeroides (Mart.) Griseb.;3084923;NA;2;1/01/2000;31/08/2017;0;1/01/2015;31/12/2018
Ameiurus melas (Rafinesque, 1820);2340977;NHMSYS0000544615;;;;0;;
Asclepias syriaca L.;3170247;INBSYS0000005932;2;1/01/2000;31/08/2017;0;1/01/2015;31/12/2018
Baccharis halimifolia L.;3129663;NBNSYS0000142699;1;1/01/2000;31/01/2016;0;1/01/2015;31/12/2018
Bison bison (Linnaeus, 1758);2441176;NA;;;;0;;
Cabomba caroliniana A. Gray;2882443;NHMSYS0000456744;1;1/01/2000;31/01/2016;1;1/01/2015;31/12/2018
Callosciurus erythraeus (Pallas, 1779);2437394;INBSYS0000012711;1;1/01/2000;31/01/2016;0;1/01/2015;31/12/2018
Caprella mutica Schurin, 1935;5178057;INBSYS0000046323;;;;0;;
Castor canadensis Kuhl, 1820;2439838;INBSYS0000012718;;;;0;;
Castor canadensis Kuhl, 1820;2439838;INBSYS0000032589;;;;0;;
Celastrus orbiculatus C.P. Thunberg ex A. Murray;8104460;NHMSYS0100000968;;;;0;;
Corvus splendens Vieillot, 1817;2482499;NA;1;1/01/2000;31/01/2016;0;1/01/2015;31/12/2018
Cotoneaster acutifolius var. lucidus (Schltdl.) L. T. Lu;3026061;NHMSYS0000457606;;;;0;;
Cotoneaster acutifolius var. villosulus Rehd. & E.H. Wilson;3025565;NHMSYS0000457636;;;;0;;
Cotoneaster acutifolius var. villosulus Rehd. & E.H. Wilson;3025565;INBSYS0000009453;;;;0;;
Cotoneaster acutifolius var. villosulus Rehd. & E.H. Wilson;3025565;INBSYS0000005533;;;;0;;
Cotoneaster acutifolius var. villosulus Rehd. & E.H. Wilson;3025565;NBNSYS0000034264;;;;0;;
Cotoneaster ambiguus Rehd. & E.H. Wilson;3025858;NA;;;;0;;
Cotoneaster ascendens Flinck & B. Hylmö;3026024;NHMSYS0000457556;;;;0;;
Cotoneaster bullatus Bois in Bilm. & Bois;3026294;NBNSYS0000004710;;;;0;;
Cotoneaster bullatus var. floribundus (Stapf) L. T. Lu & A. R. Brach;3026295;NBNSYS0100002625;;;;0;;
Cotoneaster bullatus var. macrophyllus Rehder & E. H. Wilson;3026161;INBSYS0000005534;;;;0;;
Cotoneaster conspicuus H. F. Comber ex C. Marquand;3025875;NHMSYS0000457572;;;;0;;
Cotoneaster coriaceus Franch.;3026035;NHMSYS0000457601;;;;0;;
Cotoneaster dammeri C.K. Schneid.;3026049;NHMSYS0000457575;;;;0;;
Cotoneaster dammeri C.K. Schneid.;3026049;INBSYS0000011373;;;;0;;
Cotoneaster dielsianus E. Pritz.;3025896;NHMSYS0000457576;;;;0;;
Cotoneaster dielsianus E. Pritz.;3025896;NBNSYS0000014211;;;;0;;
Cotoneaster dielsianus E. Pritz.;3025896;INBSYS0000005539;;;;0;;
Cotoneaster divaricatus Rehd. & E.H. Wilson;3026334;NBNSYS0000014035;;;;0;;
Cotoneaster fangianus T.T. Yu;3025932;NBNSYS0100002626;;;;0;;
Cotoneaster franchetii Boiss.;3026162;NBNSYS0000004711;;;;0;;
Cotoneaster hjelmqvistii K.E. Flinck & B. Hylmö;3026092;NHMSYS0000457586;;;;0;;
Cotoneaster hjelmqvistii K.E. Flinck & B. Hylmö;3026092;NBNSYS0000014085;;;;0;;
Cotoneaster horizontalis Decne;3025617;NBNSYS0000003425;;;;0;;
Cotoneaster horizontalis Decne;3025617;INBSYS0000005538;;;;0;;
Cotoneaster integrifolius (Lindl.) Koehne;7671502;NBNSYS0000003426;;;;0;;
Cotoneaster integrifolius (Lindl.) Koehne;7671502;INBSYS0000005537;;;;0;;
Cotoneaster mairei;3025944;NHMSYS0000457607;;;;0;;
Cotoneaster moupinensis Franch.;3025731;NHMSYS0000457612;;;;0;;
Cotoneaster moupinensis Franch.;3025731;NBNSYS0000013945;;;;0;;
Cotoneaster nanshan Mottet;3025935;NHMSYS0000457616;;;;0;;
Cotoneaster qungbixiensis J.Fryer & B.Hylmö;3025907;NA;;;;0;;
Cotoneaster salicifolius Franch.;3026074;NBNSYS0000013979;;;;0;;
Cotoneaster salicifolius Franch.;3026074;NHMSYS0000457626;;;;0;;
Cotoneaster salicifolius var. rugosus (E. Pritz.) Rehd. & E.H. Wilson;3026076;NBNSYS0100002628;;;;0;;
Cotoneaster simonsii Baker;3026107;NBNSYS0000003424;;;;0;;
Cotoneaster zabelii C.K. Schneid.;3025605;NHMSYS0000457641;;;;0;;
Cotoneaster ×suecicus G. Klotz;3026040;NBNSYS0000014875;;;;0;;
Cotoneaster ×suecicus G. Klotz;3026040;INBSYS0000005532;;;;0;;
Cotoneaster ×watereri Exell;3026004;NBNSYS0000004713;;;;0;;
Crassula helmsii (Kirk) A. Berger;8035075;INBSYS0000005528;;;;0;;
Crepidula fornicata (Linnaeus, 1758);5192789;NBNSYS0000174750;;;;0;;
Didemnum vexillum Romanov, 1989;2329770;NA;;;;0;;
Eichhornia crassipes (Mart.) Solms;2765940;NHMSYS0000458290;1;1/01/2000;31/01/2016;0;1/01/2015;31/12/2018
Eichhornia crassipes (Mart.) Solms;2765940;INBSYS0000005391;1;1/01/2000;31/01/2016;0;1/01/2015;31/12/2018
Elodea nuttallii (Planch.) H.St.John;5329212;NHMSYS0000458329;2;1/01/2000;31/08/2017;0;1/01/2015;31/12/2018
