gbfp_SN;bioregion;utm1;utm2;utm5;utm10;sac_perc
Alopochen aegyptiaca (Linnaeus, 1766);Atlantic;895;588;231;91;26.48
Alopochen aegyptiaca (Linnaeus, 1766);Continental;1172;795;346;134;52.9
Alopochen aegyptiaca (Linnaeus, 1766);NA;1;1;1;1;100
Asclepias syriaca L.;Continental;3;3;3;2;100
Baccharis halimifolia L.;Atlantic;47;37;22;17;65.96
Baccharis halimifolia L.;NA;1;1;1;1;100
Cabomba caroliniana A. Gray;Atlantic;2;2;2;2;100
Callosciurus erythraeus (Pallas, 1779);Atlantic;1;1;1;1;100
Eichhornia crassipes (Mart.) Solms;Atlantic;11;9;7;6;54.55
Eichhornia crassipes (Mart.) Solms;Continental;2;2;2;2;100
Elodea nuttallii (Planch.) H.St.John;Atlantic;10;9;10;8;60
Elodea nuttallii (Planch.) H.St.John;Continental;34;32;28;23;91.18
Elodea nuttallii (Planch.) H.St.John;NA;1;1;1;1;100
Eriocheir sinensis H. Milne Edwards, 1853;Atlantic;205;176;113;62;45.85
Eriocheir sinensis H. Milne Edwards, 1853;Continental;3;3;2;2;100
Eriocheir sinensis H. Milne Edwards, 1853;NA;1;1;1;1;100
Gunnera tinctoria (Molina) Mirbel;NA;1;1;1;1;100
Heracleum mantegazzianum Sommier & Levier;Atlantic;255;218;156;98;29.02
Heracleum mantegazzianum Sommier & Levier;Continental;558;398;220;113;51.08
Heracleum mantegazzianum Sommier & Levier;NA;1;1;1;1;100
Hydrocotyle ranunculoides L. fil.;Atlantic;120;102;73;58;33.33
Hydrocotyle ranunculoides L. fil.;Continental;8;8;8;7;62.5
Impatiens glandulifera Royle;Atlantic;489;349;192;91;28.83
Impatiens glandulifera Royle;Continental;767;544;262;123;65.45
Impatiens glandulifera Royle;NA;1;1;1;1;100
Lagarosiphon major (Ridl.) Moss;Atlantic;14;13;12;12;21.43
Lagarosiphon major (Ridl.) Moss;Continental;11;11;9;8;72.73
Lithobates catesbeianus (Shaw, 1802);Atlantic;61;46;28;18;55.74
Ludwigia grandiflora (Michaux) Greuter & Burdet;Atlantic;107;89;69;52;57.94
Ludwigia grandiflora (Michaux) Greuter & Burdet;Continental;8;8;7;6;62.5
Ludwigia peploides (Kunth) P. H. Raven;Atlantic;6;5;5;5;16.67
Lysichiton americanus Hult̩n & H.St.John;Atlantic;11;11;10;10;63.64
Lysichiton americanus Hult̩n & H.St.John;Continental;12;12;10;9;50
Lysichiton americanus Hult̩n & H.St.John;NA;1;1;1;1;100
Muntiacus reevesi (Ogilby, 1839);Atlantic;67;53;41;28;32.84
Muntiacus reevesi (Ogilby, 1839);Continental;4;4;4;4;125
Muntiacus reevesi (Ogilby, 1839);NA;1;1;1;1;100
Myocastor coypus (Molina, 1782);Atlantic;20;19;14;12;60
Myocastor coypus (Molina, 1782);Continental;105;81;52;34;71.43
Myocastor coypus (Molina, 1782);NA;1;1;1;1;100
Myriophyllum aquaticum (Vellozo) Verdcourt;Atlantic;162;138;102;69;66.05
Myriophyllum aquaticum (Vellozo) Verdcourt;Continental;14;14;13;12;71.43
Myriophyllum aquaticum (Vellozo) Verdcourt;NA;1;1;1;1;100
Myriophyllum heterophyllum Michx.;Continental;2;2;2;2;100
Ondatra zibethicus (Linnaeus, 1766);Atlantic;211;174;120;64;36.49
Ondatra zibethicus (Linnaeus, 1766);Continental;214;186;134;82;72.43
Ondatra zibethicus (Linnaeus, 1766);NA;1;1;1;1;100
Orconectes limosus (Rafinesque, 1817);Atlantic;69;64;56;42;36.23
Orconectes limosus (Rafinesque, 1817);Continental;28;27;23;20;85.71
Oxyura jamaicensis (Gmelin, 1789);Atlantic;83;67;45;36;26.51
Oxyura jamaicensis (Gmelin, 1789);Continental;1;1;1;1;100
Oxyura jamaicensis (Gmelin, 1789);NA;1;1;1;1;100
Pacifastacus leniusculus (Dana, 1852);Atlantic;11;9;5;5;36.36
Pacifastacus leniusculus (Dana, 1852);Continental;147;131;86;59;83.67
Pacifastacus leniusculus (Dana, 1852);NA;1;1;1;1;100
Procambarus clarkii (Girard, 1852);Atlantic;59;46;32;27;22.03
Procambarus clarkii (Girard, 1852);Continental;10;6;6;5;60
Procyon lotor (Linnaeus, 1758);Atlantic;49;46;42;35;40.82
Procyon lotor (Linnaeus, 1758);Continental;1022;786;326;126;73.19
Procyon lotor (Linnaeus, 1758);NA;1;1;1;1;100
Pseudorasbora parva (Temminck & Schlegel, 1846);Atlantic;235;216;163;97;40.85
Pseudorasbora parva (Temminck & Schlegel, 1846);Continental;6;6;6;6;100
Pseudorasbora parva (Temminck & Schlegel, 1846);NA;1;1;1;1;100
Sciurus carolinensis Gmelin, 1788;Atlantic;5;5;5;5;20
Sciurus niger Linnaeus, 1758;Atlantic;1;1;1;1;100
Tamias sibiricus (Laxmann, 1769);Atlantic;47;27;15;13;93.62
Tamias sibiricus (Laxmann, 1769);Continental;1;1;1;1;100
Threskiornis aethiopicus (Latham, 1790);Atlantic;106;87;63;51;46.23
Trachemys Agassiz, 1857;Atlantic;266;237;173;101;45.86
Trachemys Agassiz, 1857;Continental;9;9;9;6;77.78
Vespa velutina Lepeletier, 1836;Atlantic;175;152;115;82;18.86
Vespa velutina Lepeletier, 1836;Continental;19;14;10;9;36.84
Vespa velutina Lepeletier, 1836;NA;1;1;1;1;100
