gbfp_SN;bioregion;utm1;utm2;utm5;utm10;sac_perc
Baccharis halimifolia L.;Atlantic;60;41;24;15;63.33
Cabomba caroliniana A. Gray;Atlantic;2;2;2;2;50
Callosciurus erythraeus (Pallas, 1779);Atlantic;8;5;5;3;25
Corvus splendens Vieillot, 1817;Atlantic;1;1;1;1;100
Eichhornia crassipes (Mart.) Solms;Atlantic;11;11;8;8;36.36
Eichhornia crassipes (Mart.) Solms;Continental;1;1;1;1;100
Eriocheir sinensis H. Milne Edwards, 1853;Atlantic;215;180;109;60;52.56
Eriocheir sinensis H. Milne Edwards, 1853;Continental;1;1;1;1;100
Hydrocotyle ranunculoides L. fil.;Atlantic;433;318;196;113;31.41
Hydrocotyle ranunculoides L. fil.;Continental;3;3;3;3;66.67
Lagarosiphon major (Ridl.) Moss;Atlantic;13;11;9;9;61.54
Lagarosiphon major (Ridl.) Moss;Continental;6;6;5;5;83.33
Lithobates catesbeianus (Shaw, 1802);Atlantic;100;68;45;31;61
Ludwigia grandiflora (Michaux) Greuter & Burdet;Atlantic;171;125;95;62;46.78
Ludwigia grandiflora (Michaux) Greuter & Burdet;Continental;7;7;6;6;71.43
Ludwigia peploides (Kunth) P. H. Raven;Atlantic;23;18;13;11;43.48
Lysichiton americanus Hult̩n & H.St.John;Atlantic;11;10;10;8;54.55
Lysichiton americanus Hult̩n & H.St.John;Continental;8;8;7;5;62.5
Muntiacus reevesi (Ogilby, 1839);Atlantic;27;23;18;15;22.22
Muntiacus reevesi (Ogilby, 1839);Continental;2;2;2;2;100
Myocastor coypus (Molina, 1782);Atlantic;29;24;19;16;82.76
Myocastor coypus (Molina, 1782);Continental;26;23;17;12;76.92
Myriophyllum aquaticum (Vellozo) Verdcourt;Atlantic;350;274;170;102;42.86
Myriophyllum aquaticum (Vellozo) Verdcourt;Continental;14;14;14;14;92.86
Orconectes limosus (Rafinesque, 1817);Atlantic;120;103;85;68;47.5
Orconectes limosus (Rafinesque, 1817);Continental;92;88;72;47;73.91
Oxyura jamaicensis (Gmelin, 1789);Atlantic;186;145;97;77;33.87
Oxyura jamaicensis (Gmelin, 1789);Continental;9;9;7;7;55.56
Pacifastacus leniusculus (Dana, 1852);Atlantic;11;10;8;7;45.45
Pacifastacus leniusculus (Dana, 1852);Continental;324;267;167;94;68.83
Parthenium hysterophorus L.;Atlantic;2;2;2;2;50
Procambarus clarkii (Girard, 1852);Atlantic;38;30;24;19;28.95
Procambarus clarkii (Girard, 1852);Continental;7;6;6;5;100
Procyon lotor (Linnaeus, 1758);Atlantic;30;30;28;24;36.67
Procyon lotor (Linnaeus, 1758);Continental;683;528;239;99;73.94
Pseudorasbora parva (Temminck & Schlegel, 1846);Atlantic;652;536;308;138;41.1
Pseudorasbora parva (Temminck & Schlegel, 1846);Continental;57;52;35;27;64.91
Sciurus carolinensis Gmelin, 1788;Atlantic;8;8;7;7;25
Sciurus niger Linnaeus, 1758;Atlantic;1;1;1;1;100
Tamias sibiricus (Laxmann, 1769);Atlantic;64;40;24;18;84.38
Threskiornis aethiopicus (Latham, 1790);Atlantic;169;135;99;71;40.24
Threskiornis aethiopicus (Latham, 1790);Continental;8;8;7;7;87.5
Vespa velutina Lepeletier, 1836;Atlantic;1;1;1;1;100
