gbfp_SN;bioregion;utm1;utm2;utm5;utm10;sac_perc
Acridotheres tristis Linnaeus, 1766;Atlantic;4;4;4;4;50
Ailanthus altissima (Mill.) Swingle;Atlantic;442;299;171;105;18.78
Ailanthus altissima (Mill.) Swingle;Continental;53;40;22;16;33.96
Lepomis gibbosus (Linnaeus, 1758);Atlantic;622;490;267;131;57.07
Lepomis gibbosus (Linnaeus, 1758);Continental;59;53;37;28;62.71
Nyctereutes procyonoides (Gray, 1834);Atlantic;17;17;15;13;41.18
Nyctereutes procyonoides (Gray, 1834);Continental;27;27;25;20;62.96
Salvinia auriculata Aubl.;Atlantic;1;1;1;1;100
