gbfp_SN;bioregion;utm1;utm2;utm5;utm10;sac_perc;tx
Baccharis halimifolia L.;Atlantic;60;41;24;15;63.33;t0
Cabomba caroliniana A. Gray;Atlantic;2;2;2;2;50;t0
Callosciurus erythraeus (Pallas, 1779);Atlantic;8;5;5;3;25;t0
Corvus splendens Vieillot, 1817;Atlantic;1;1;1;1;100;t0
Eichhornia crassipes (Mart.) Solms;Atlantic;11;11;8;8;36.36;t0
Eichhornia crassipes (Mart.) Solms;Continental;1;1;1;1;100;t0
Eriocheir sinensis H. Milne Edwards, 1853;Atlantic;215;180;109;60;52.56;t0
Eriocheir sinensis H. Milne Edwards, 1853;Continental;1;1;1;1;100;t0
Eriocheir sinensis H. Milne Edwards, 1853;NA;1;1;1;1;100;t0
Hydrocotyle ranunculoides L. fil.;Atlantic;433;318;196;113;31.41;t0
Hydrocotyle ranunculoides L. fil.;Continental;3;3;3;3;66.67;t0
Lagarosiphon major (Ridl.) Moss;Atlantic;13;11;9;9;61.54;t0
Lagarosiphon major (Ridl.) Moss;Continental;6;6;5;5;83.33;t0
Lithobates catesbeianus (Shaw, 1802);Atlantic;100;68;45;31;61;t0
Ludwigia grandiflora (Michaux) Greuter & Burdet;Atlantic;171;125;95;62;46.78;t0
Ludwigia grandiflora (Michaux) Greuter & Burdet;Continental;7;7;6;6;71.43;t0
Ludwigia peploides (Kunth) P. H. Raven;Atlantic;23;18;13;11;43.48;t0
Lysichiton americanus Hult̩n & H.St.John;Atlantic;11;10;10;8;54.55;t0
Lysichiton americanus Hult̩n & H.St.John;Continental;8;8;7;5;62.5;t0
Muntiacus reevesi (Ogilby, 1839);Atlantic;27;23;18;15;22.22;t0
Muntiacus reevesi (Ogilby, 1839);Continental;2;2;2;2;100;t0
Myocastor coypus (Molina, 1782);Atlantic;29;24;19;16;82.76;t0
Myocastor coypus (Molina, 1782);Continental;26;23;17;12;76.92;t0
Myriophyllum aquaticum (Vellozo) Verdcourt;Atlantic;350;274;170;102;42.86;t0
Myriophyllum aquaticum (Vellozo) Verdcourt;Continental;14;14;14;14;92.86;t0
Myriophyllum aquaticum (Vellozo) Verdcourt;NA;1;1;1;1;100;t0
Orconectes limosus (Rafinesque, 1817);Atlantic;120;103;85;68;47.5;t0
Orconectes limosus (Rafinesque, 1817);Continental;92;88;72;47;73.91;t0
Oxyura jamaicensis (Gmelin, 1789);Atlantic;186;145;97;77;33.87;t0
Oxyura jamaicensis (Gmelin, 1789);Continental;9;9;7;7;55.56;t0
