gbfp_SN;bioregion;utm1;utm2;utm5;utm10;sac_perc;tx
Pacifastacus leniusculus (Dana, 1852);Atlantic;11;10;8;7;45.45;t0
Pacifastacus leniusculus (Dana, 1852);Continental;324;267;167;94;68.83;t0
Parthenium hysterophorus L.;Atlantic;2;2;2;2;50;t0
Procambarus clarkii (Girard, 1852);Atlantic;38;30;24;19;28.95;t0
Procambarus clarkii (Girard, 1852);Continental;7;6;6;5;100;t0
Procyon lotor (Linnaeus, 1758);Atlantic;30;30;28;24;36.67;t0
Procyon lotor (Linnaeus, 1758);Continental;683;528;239;99;73.94;t0
Pseudorasbora parva (Temminck & Schlegel, 1846);Atlantic;652;536;308;138;41.1;t0
Pseudorasbora parva (Temminck & Schlegel, 1846);Continental;57;52;35;27;64.91;t0
Sciurus carolinensis Gmelin, 1788;Atlantic;8;8;7;7;25;t0
Sciurus niger Linnaeus, 1758;Atlantic;1;1;1;1;100;t0
Tamias sibiricus (Laxmann, 1769);Atlantic;64;40;24;18;84.38;t0
Threskiornis aethiopicus (Latham, 1790);Atlantic;169;135;99;71;40.24;t0
Threskiornis aethiopicus (Latham, 1790);Continental;8;8;7;7;87.5;t0
Vespa velutina Lepeletier, 1836;Atlantic;1;1;1;1;100;t0
Ailanthus altissima (Mill.) Swingle;Atlantic;1;1;1;1;100;t0
Alopochen aegyptiaca (Linnaeus, 1766);Atlantic;1354;792;255;95;24.22;t0
Alopochen aegyptiaca (Linnaeus, 1766);Continental;1548;1000;402;142;51.49;t0
Alopochen aegyptiaca (Linnaeus, 1766);NA;1;1;1;1;100;t0
Asclepias syriaca L.;Atlantic;6;6;5;3;50;t0
Asclepias syriaca L.;Continental;3;3;3;2;100;t0
Baccharis halimifolia L.;NA;1;1;1;1;100;t0
Eichhornia crassipes (Mart.) Solms;Atlantic;1;1;1;1;100;t0
Elodea nuttallii (Planch.) H.St.John;Atlantic;38;33;25;20;65.79;t0
Elodea nuttallii (Planch.) H.St.John;Continental;118;108;93;68;77.12;t0
Eriocheir sinensis H. Milne Edwards, 1853;Atlantic;4;4;4;3;50;t0
Eriocheir sinensis H. Milne Edwards, 1853;Continental;1;1;1;1;100;t0
Gunnera tinctoria (Molina) Mirbel;NA;1;1;1;1;100;t0
Heracleum mantegazzianum Sommier & Levier;Atlantic;578;412;218;107;27.51;t0
Heracleum mantegazzianum Sommier & Levier;Continental;991;682;321;138;52.98;t0
Heracleum mantegazzianum Sommier & Levier;NA;1;1;1;1;100;t0
Hydrocotyle ranunculoides L. fil.;Atlantic;42;32;25;21;47.62;t0
Hydrocotyle ranunculoides L. fil.;Continental;3;3;3;3;66.67;t0
Impatiens glandulifera Royle;Atlantic;919;572;229;99;29.92;t0
Impatiens glandulifera Royle;Continental;1398;859;362;144;69.24;t0
Impatiens glandulifera Royle;NA;1;1;1;1;100;t0
Lagarosiphon major (Ridl.) Moss;Continental;9;9;8;7;66.67;t0
Lepomis gibbosus (Linnaeus, 1758);Atlantic;3;3;3;3;66.67;t0
Lithobates catesbeianus (Shaw, 1802);Atlantic;9;8;7;6;55.56;t0
Lithobates catesbeianus (Shaw, 1802);Continental;2;2;2;2;100;t0
Ludwigia grandiflora (Michaux) Greuter & Burdet;Atlantic;15;10;8;5;53.33;t0
Ludwigia grandiflora (Michaux) Greuter & Burdet;Continental;5;5;4;4;60;t0
Ludwigia peploides (Kunth) P. H. Raven;Atlantic;15;11;7;5;60;t0
Lysichiton americanus Hult̩n & H.St.John;Atlantic;7;6;6;4;57.14;t0
Lysichiton americanus Hult̩n & H.St.John;Continental;6;6;5;4;66.67;t0
Lysichiton americanus Hult̩n & H.St.John;NA;1;1;1;1;100;t0
Muntiacus reevesi (Ogilby, 1839);Atlantic;2;2;2;2;100;t0
Muntiacus reevesi (Ogilby, 1839);Continental;2;2;2;2;100;t0
Myocastor coypus (Molina, 1782);Atlantic;5;4;4;4;100;t0
Myocastor coypus (Molina, 1782);Continental;21;17;13;9;71.43;t0
Myocastor coypus (Molina, 1782);NA;1;1;1;1;100;t0
Myriophyllum aquaticum (Vellozo) Verdcourt;Atlantic;23;23;22;19;47.83;t0
Myriophyllum aquaticum (Vellozo) Verdcourt;Continental;12;12;12;12;91.67;t0
Myriophyllum heterophyllum Michx.;Continental;2;2;2;2;100;t0
Nasua nasua (Linnaeus, 1766);Atlantic;1;1;1;1;100;t0
Nyctereutes procyonoides (Gray, 1834);Atlantic;18;17;16;15;44.44;t0
Nyctereutes procyonoides (Gray, 1834);Continental;24;24;22;19;70.83;t0
Ondatra zibethicus (Linnaeus, 1766);Atlantic;285;212;130;59;40;t0
Ondatra zibethicus (Linnaeus, 1766);Continental;378;307;195;102;78.57;t0
Ondatra zibethicus (Linnaeus, 1766);NA;1;1;1;1;100;t0
Orconectes limosus (Rafinesque, 1817);Atlantic;26;25;21;18;46.15;t0
Orconectes limosus (Rafinesque, 1817);Continental;69;65;55;37;72.46;t0
Oxyura jamaicensis (Gmelin, 1789);Atlantic;17;14;11;11;47.06;t0
Oxyura jamaicensis (Gmelin, 1789);Continental;9;9;7;7;55.56;t0
Oxyura jamaicensis (Gmelin, 1789);NA;1;1;1;1;100;t0
Pacifastacus leniusculus (Dana, 1852);Atlantic;7;8;6;5;42.86;t0
Pacifastacus leniusculus (Dana, 1852);Continental;211;173;108;68;64.93;t0
Procambarus clarkii (Girard, 1852);Atlantic;9;7;6;4;22.22;t0
Procambarus clarkii (Girard, 1852);Continental;6;6;5;5;100;t0
Procyon lotor (Linnaeus, 1758);Atlantic;55;55;52;44;38.18;t0
Procyon lotor (Linnaeus, 1758);Continental;714;542;250;104;74.09;t0
Procyon lotor (Linnaeus, 1758);NA;1;1;1;1;100;t0
Pseudorasbora parva (Temminck & Schlegel, 1846);Atlantic;35;33;31;22;60;t0
Pseudorasbora parva (Temminck & Schlegel, 1846);Continental;24;23;20;16;75;t0
Sciurus niger Linnaeus, 1758;Atlantic;1;1;1;1;100;t0
Tamias sibiricus (Laxmann, 1769);Atlantic;44;25;11;7;84.09;t0
Tamias sibiricus (Laxmann, 1769);NA;1;1;1;1;100;t0
Threskiornis aethiopicus (Latham, 1790);Atlantic;12;11;11;10;50;t0
Threskiornis aethiopicus (Latham, 1790);Continental;8;8;8;8;87.5;t0
Vespa velutina Lepeletier, 1836;Atlantic;1;1;1;1;100;t0
Acridotheres tristis Linnaeus, 1766;Atlantic;4;4;4;4;50;t0
Ailanthus altissima (Mill.) Swingle;Atlantic;442;299;171;105;18.78;t0
Ailanthus altissima (Mill.) Swingle;Continental;53;40;22;16;33.96;t0
Lepomis gibbosus (Linnaeus, 1758);Atlantic;622;490;267;131;57.07;t0
Lepomis gibbosus (Linnaeus, 1758);Continental;59;53;37;28;62.71;t0
Nyctereutes procyonoides (Gray, 1834);Atlantic;17;17;15;13;41.18;t0
Nyctereutes procyonoides (Gray, 1834);Continental;27;27;25;20;62.96;t0
Salvinia auriculata Aubl.;Atlantic;1;1;1;1;100;t0
Alopochen aegyptiaca (Linnaeus, 1766);Atlantic;895;588;231;91;26.48;t1
Alopochen aegyptiaca (Linnaeus, 1766);Continental;1172;795;346;134;52.9;t1
Alopochen aegyptiaca (Linnaeus, 1766);NA;1;1;1;1;100;t1
Asclepias syriaca L.;Continental;3;3;3;2;100;t1
Baccharis halimifolia L.;Atlantic;47;37;22;17;65.96;t1
Baccharis halimifolia L.;NA;1;1;1;1;100;t1
Cabomba caroliniana A. Gray;Atlantic;2;2;2;2;100;t1
Callosciurus erythraeus (Pallas, 1779);Atlantic;1;1;1;1;100;t1
Eichhornia crassipes (Mart.) Solms;Atlantic;11;9;7;6;54.55;t1
Eichhornia crassipes (Mart.) Solms;Continental;2;2;2;2;100;t1
Elodea nuttallii (Planch.) H.St.John;Atlantic;10;9;10;8;60;t1
Elodea nuttallii (Planch.) H.St.John;Continental;34;32;28;23;91.18;t1
Elodea nuttallii (Planch.) H.St.John;NA;1;1;1;1;100;t1
Eriocheir sinensis H. Milne Edwards, 1853;Atlantic;205;176;113;62;45.85;t1
Eriocheir sinensis H. Milne Edwards, 1853;Continental;3;3;2;2;100;t1
Eriocheir sinensis H. Milne Edwards, 1853;NA;1;1;1;1;100;t1
Gunnera tinctoria (Molina) Mirbel;NA;1;1;1;1;100;t1
Heracleum mantegazzianum Sommier & Levier;Atlantic;255;218;156;98;29.02;t1
Heracleum mantegazzianum Sommier & Levier;Continental;558;398;220;113;51.08;t1
Heracleum mantegazzianum Sommier & Levier;NA;1;1;1;1;100;t1
Hydrocotyle ranunculoides L. fil.;Atlantic;120;102;73;58;33.33;t1
Hydrocotyle ranunculoides L. fil.;Continental;8;8;8;7;62.5;t1
Impatiens glandulifera Royle;Atlantic;489;349;192;91;28.83;t1
Impatiens glandulifera Royle;Continental;767;544;262;123;65.45;t1
Impatiens glandulifera Royle;NA;1;1;1;1;100;t1
Lagarosiphon major (Ridl.) Moss;Atlantic;14;13;12;12;21.43;t1
Lagarosiphon major (Ridl.) Moss;Continental;11;11;9;8;72.73;t1
Lithobates catesbeianus (Shaw, 1802);Atlantic;61;46;28;18;55.74;t1
Ludwigia grandiflora (Michaux) Greuter & Burdet;Atlantic;107;89;69;52;57.94;t1
Ludwigia grandiflora (Michaux) Greuter & Burdet;Continental;8;8;7;6;62.5;t1
Ludwigia peploides (Kunth) P. H. Raven;Atlantic;6;5;5;5;16.67;t1
Lysichiton americanus Hult̩n & H.St.John;Atlantic;11;11;10;10;63.64;t1
Lysichiton americanus Hult̩n & H.St.John;Continental;12;12;10;9;50;t1
Lysichiton americanus Hult̩n & H.St.John;NA;1;1;1;1;100;t1
Muntiacus reevesi (Ogilby, 1839);Atlantic;67;53;41;28;32.84;t1
Muntiacus reevesi (Ogilby, 1839);Continental;4;4;4;4;125;t1
Muntiacus reevesi (Ogilby, 1839);NA;1;1;1;1;100;t1
Myocastor coypus (Molina, 1782);Atlantic;20;19;14;12;60;t1
Myocastor coypus (Molina, 1782);Continental;105;81;52;34;71.43;t1
Myocastor coypus (Molina, 1782);NA;1;1;1;1;100;t1
Myriophyllum aquaticum (Vellozo) Verdcourt;Atlantic;162;138;102;69;66.05;t1
Myriophyllum aquaticum (Vellozo) Verdcourt;Continental;14;14;13;12;71.43;t1
Myriophyllum aquaticum (Vellozo) Verdcourt;NA;1;1;1;1;100;t1
Myriophyllum heterophyllum Michx.;Continental;2;2;2;2;100;t1
Ondatra zibethicus (Linnaeus, 1766);Atlantic;211;174;120;64;36.49;t1
Ondatra zibethicus (Linnaeus, 1766);Continental;214;186;134;82;72.43;t1
Ondatra zibethicus (Linnaeus, 1766);NA;1;1;1;1;100;t1
Orconectes limosus (Rafinesque, 1817);Atlantic;69;64;56;42;36.23;t1
Orconectes limosus (Rafinesque, 1817);Continental;28;27;23;20;85.71;t1
Oxyura jamaicensis (Gmelin, 1789);Atlantic;83;67;45;36;26.51;t1
Oxyura jamaicensis (Gmelin, 1789);Continental;1;1;1;1;100;t1
Oxyura jamaicensis (Gmelin, 1789);NA;1;1;1;1;100;t1
Pacifastacus leniusculus (Dana, 1852);Atlantic;11;9;5;5;36.36;t1
Pacifastacus leniusculus (Dana, 1852);Continental;147;131;86;59;83.67;t1
Pacifastacus leniusculus (Dana, 1852);NA;1;1;1;1;100;t1
Procambarus clarkii (Girard, 1852);Atlantic;59;46;32;27;22.03;t1
Procambarus clarkii (Girard, 1852);Continental;10;6;6;5;60;t1
Procyon lotor (Linnaeus, 1758);Atlantic;49;46;42;35;40.82;t1
Procyon lotor (Linnaeus, 1758);Continental;1022;786;326;126;73.19;t1
Procyon lotor (Linnaeus, 1758);NA;1;1;1;1;100;t1
Pseudorasbora parva (Temminck & Schlegel, 1846);Atlantic;235;216;163;97;40.85;t1
Pseudorasbora parva (Temminck & Schlegel, 1846);Continental;6;6;6;6;100;t1
Pseudorasbora parva (Temminck & Schlegel, 1846);NA;1;1;1;1;100;t1
Sciurus carolinensis Gmelin, 1788;Atlantic;5;5;5;5;20;t1
Sciurus niger Linnaeus, 1758;Atlantic;1;1;1;1;100;t1
Tamias sibiricus (Laxmann, 1769);Atlantic;47;27;15;13;93.62;t1
Tamias sibiricus (Laxmann, 1769);Continental;1;1;1;1;100;t1
Threskiornis aethiopicus (Latham, 1790);Atlantic;106;87;63;51;46.23;t1
Trachemys Agassiz, 1857;Atlantic;266;237;173;101;45.86;t1
Trachemys Agassiz, 1857;Continental;9;9;9;6;77.78;t1
Vespa velutina Lepeletier, 1836;Atlantic;175;152;115;82;18.86;t1
Vespa velutina Lepeletier, 1836;Continental;19;14;10;9;36.84;t1
Vespa velutina Lepeletier, 1836;NA;1;1;1;1;100;t1
